m_date,air_temp
2019-05-02 7:53,1
2019-05-02 7:56,1
2019-05-02 7:59,1
2019-05-02 8:2,1
2019-05-02 8:3,0
2019-05-02 8:5,1
2019-05-02 8:6,1
2019-05-02 8:7,1
2019-05-02 8:8,1
2019-05-02 8:9,0
2019-05-02 8:10,0
2019-05-02 8:12,0
2019-05-02 8:16,2
2019-05-02 8:17,0
2019-05-02 8:18,3
2019-05-02 8:19,1
2019-05-02 8:20,2
2019-05-02 8:23,3
2019-05-02 8:24,3
2019-05-02 8:26,0
2019-05-02 8:27,3
2019-05-02 8:29,2
2019-05-02 8:31,0
2019-05-02 8:32,1
2019-05-02 8:34,1
2019-05-02 8:35,5
2019-05-02 8:36,1
2019-05-02 8:37,3
2019-05-02 8:38,1
2019-05-02 8:40,0
2019-05-02 8:48,0
2019-05-02 8:49,1
2019-05-02 8:50,1
2019-05-02 8:53,1
2019-05-02 8:54,1
2019-05-02 8:55,3
2019-05-02 8:56,1
2019-05-02 8:58,0
2019-05-02 9:0,1
2019-05-02 9:1,0
2019-05-02 9:2,0
2019-05-02 9:4,1
2019-05-02 9:5,0
2019-05-02 9:6,2
2019-05-02 9:8,1
2019-05-02 9:11,1
2019-05-02 9:13,1
2019-05-02 9:14,3
2019-05-02 9:15,1
2019-05-02 9:16,4
2019-05-02 9:17,2
2019-05-02 9:18,2
2019-05-02 9:19,2
2019-05-02 9:20,2
2019-05-02 9:21,2
2019-05-02 9:22,1
2019-05-02 9:23,1
2019-05-02 9:24,0
2019-05-02 9:25,0
2019-05-02 9:26,0
2019-05-02 9:27,0
2019-05-02 9:28,0
2019-05-02 9:32,2
2019-05-02 9:33,3
2019-05-02 9:34,2
2019-05-02 9:35,1
2019-05-02 9:36,8
2019-05-02 9:37,3
2019-05-02 9:38,2
2019-05-02 9:39,2
2019-05-02 9:40,2
2019-05-02 9:41,10
2019-05-02 9:42,7
2019-05-02 9:43,5
2019-05-02 9:44,2
2019-05-02 9:45,5
2019-05-02 9:46,6
2019-05-02 9:47,4
2019-05-02 9:48,6
2019-05-02 9:49,3
2019-05-02 9:50,6
2019-05-02 9:51,10
2019-05-02 9:52,7
2019-05-02 9:53,7
2019-05-02 9:54,6
2019-05-02 9:55,9
2019-05-02 9:56,10
2019-05-02 9:57,8
2019-05-02 9:58,11
2019-05-02 9:59,11
2019-05-02 10:0,6
2019-05-02 10:1,8
2019-05-02 10:2,7
2019-05-02 10:3,8
2019-05-02 10:4,10
2019-05-02 10:5,9
2019-05-02 10:6,8
2019-05-02 10:7,7
2019-05-02 10:8,5
2019-05-02 10:9,8
2019-05-02 10:10,10
2019-05-02 10:11,8
2019-05-02 10:12,7
2019-05-02 10:13,11
2019-05-02 10:14,11
2019-05-02 10:15,11
2019-05-02 10:16,11
2019-05-02 10:17,10
2019-05-02 10:18,9
2019-05-02 10:19,11
2019-05-02 10:20,7
2019-05-02 10:21,8
2019-05-02 10:22,8
2019-05-02 10:23,8
2019-05-02 10:24,4
2019-05-02 10:25,6
2019-05-02 10:26,7
2019-05-02 10:27,6
2019-05-02 10:28,7
2019-05-02 10:29,5
2019-05-02 10:30,7
2019-05-02 10:31,6
2019-05-02 10:32,10
2019-05-02 10:33,6
2019-05-02 10:34,7
2019-05-02 10:35,8
2019-05-02 10:36,11
2019-05-02 10:37,7
2019-05-02 10:38,10
2019-05-02 10:39,9
2019-05-02 10:40,11
2019-05-02 10:41,10
2019-05-02 10:42,10
2019-05-02 10:43,8
2019-05-02 10:44,10
2019-05-02 10:45,10
2019-05-02 10:46,9
2019-05-02 10:47,8
2019-05-02 10:48,9
2019-05-02 10:49,7
2019-05-02 10:50,10
2019-05-02 10:51,11
2019-05-02 10:52,12
2019-05-02 10:53,9
2019-05-02 10:54,11
2019-05-02 10:55,12
2019-05-02 10:56,12
2019-05-02 10:57,12
2019-05-02 10:58,10
2019-05-02 10:59,9
2019-05-02 11:0,8
2019-05-02 11:1,10
2019-05-02 11:2,10
2019-05-02 11:3,14
2019-05-02 11:4,8
2019-05-02 11:5,12
2019-05-02 11:6,11
2019-05-02 11:7,10
2019-05-02 11:8,8
2019-05-02 11:9,11
2019-05-02 11:10,16
2019-05-02 11:11,10
2019-05-02 11:12,13
2019-05-02 11:13,6
2019-05-02 11:14,8
2019-05-02 11:15,8
2019-05-02 11:16,7
2019-05-02 11:17,5
2019-05-02 11:18,10
2019-05-02 11:19,9
2019-05-02 11:20,12
2019-05-02 11:21,5
2019-05-02 11:22,8
2019-05-02 11:23,8
2019-05-02 11:24,11
2019-05-02 11:25,9
2019-05-02 11:26,12
2019-05-02 11:27,11
2019-05-02 11:28,9
2019-05-02 11:30,5
2019-05-02 11:31,9
2019-05-02 11:32,7
2019-05-02 11:33,11
2019-05-02 11:34,9
2019-05-02 11:35,10
2019-05-02 11:36,11
2019-05-02 11:37,9
2019-05-02 11:38,14
2019-05-02 11:39,14
2019-05-02 11:40,11
2019-05-02 11:41,11
2019-05-02 11:42,7
2019-05-02 11:43,8
2019-05-02 11:44,7
2019-05-02 11:45,3
2019-05-02 11:46,9
2019-05-02 11:47,3
2019-05-02 11:48,4
2019-05-02 11:49,4
2019-05-02 11:50,10
2019-05-02 11:51,5
2019-05-02 11:52,11
2019-05-02 11:53,7
2019-05-02 11:54,6
2019-05-02 11:55,12
2019-05-02 11:56,9
2019-05-02 11:57,11
2019-05-02 11:58,5
2019-05-02 12:0,6
2019-05-02 12:1,2
2019-05-02 12:2,8
2019-05-02 12:3,3
2019-05-02 12:4,5
2019-05-02 12:5,6
2019-05-02 12:6,8
2019-05-02 12:7,11
2019-05-02 12:8,9
2019-05-02 12:9,6
2019-05-02 12:10,7
2019-05-02 12:11,7
2019-05-02 12:12,12
2019-05-02 12:13,9
2019-05-02 12:14,14
2019-05-02 12:15,12
2019-05-02 12:16,14
2019-05-02 12:17,10
2019-05-02 12:18,9
2019-05-02 12:19,14
2019-05-02 12:20,12
2019-05-02 12:21,9
2019-05-02 12:22,23
2019-05-02 12:23,16
2019-05-02 12:24,18
2019-05-02 12:25,15
2019-05-02 12:26,11
2019-05-02 12:27,7
2019-05-02 12:28,14
2019-05-02 12:29,19
2019-05-02 12:30,17
2019-05-02 12:31,16
2019-05-02 12:32,17
2019-05-02 12:33,13
2019-05-02 12:34,12
2019-05-02 12:35,13
2019-05-02 12:36,11
2019-05-02 12:37,17
2019-05-02 12:38,12
2019-05-02 12:39,12
2019-05-02 12:40,16
2019-05-02 12:41,10
2019-05-02 12:42,9
2019-05-02 12:43,8
2019-05-02 12:44,16
2019-05-02 12:45,14
2019-05-02 12:46,14
2019-05-02 12:47,11
2019-05-02 12:48,16
2019-05-02 12:50,12
2019-05-02 12:51,11
2019-05-02 12:52,10
2019-05-02 12:53,9
2019-05-02 12:54,4
2019-05-02 12:55,6
2019-05-02 12:56,8
2019-05-02 12:57,14
2019-05-02 12:58,7
2019-05-02 12:59,11
2019-05-02 13:0,10
2019-05-02 13:1,11
2019-05-02 13:2,17
2019-05-02 13:3,9
2019-05-02 13:4,14
2019-05-02 13:5,13
2019-05-02 13:6,13
2019-05-02 13:7,11
2019-05-02 13:8,10
2019-05-02 13:9,11
2019-05-02 13:10,11
2019-05-02 13:11,14
2019-05-02 13:12,17
2019-05-02 13:13,13
2019-05-02 13:14,14
2019-05-02 13:15,7
2019-05-02 13:16,5
2019-05-02 13:17,7
2019-05-02 13:18,7
2019-05-02 13:19,11
2019-05-02 13:20,7
2019-05-02 13:21,7
2019-05-02 13:22,7
2019-05-02 13:23,4
2019-05-02 13:24,3
2019-05-02 13:25,5
2019-05-02 13:26,7
2019-05-02 13:27,6
2019-05-02 13:28,6
2019-05-02 13:29,8
2019-05-02 13:30,11
2019-05-02 13:31,8
2019-05-02 13:32,5
2019-05-02 13:33,9
2019-05-02 13:34,9
2019-05-02 13:35,8
2019-05-02 13:36,9
2019-05-02 13:37,10
2019-05-02 13:38,11
2019-05-02 13:39,11
2019-05-02 13:40,10
2019-05-02 13:41,8
2019-05-02 13:42,7
2019-05-02 13:43,9
2019-05-02 13:44,8
2019-05-02 13:45,17
2019-05-02 13:46,11
2019-05-02 13:47,11
2019-05-02 13:48,10
2019-05-02 13:49,7
2019-05-02 13:50,12
2019-05-02 13:51,12
2019-05-02 13:52,13
2019-05-02 13:53,9
2019-05-02 13:54,10
2019-05-02 13:55,12
2019-05-02 13:56,8
2019-05-02 13:57,4
2019-05-02 13:58,9
2019-05-02 14:0,11
2019-05-02 14:1,11
2019-05-02 14:2,15
2019-05-02 14:3,9
2019-05-02 14:4,13
2019-05-02 14:5,9
2019-05-02 14:6,10
2019-05-02 14:7,14
2019-05-02 14:8,7
2019-05-02 14:9,13
2019-05-02 14:10,12
2019-05-02 14:11,12
2019-05-02 14:12,5
2019-05-02 14:13,13
2019-05-02 14:14,6
2019-05-02 14:15,12
2019-05-02 14:16,5
2019-05-02 14:17,5
2019-05-02 14:18,10
2019-05-02 14:19,13
2019-05-02 14:20,9
2019-05-02 14:21,14
2019-05-02 14:22,13
2019-05-02 14:23,6
2019-05-02 14:24,5
2019-05-02 14:25,9
2019-05-02 14:26,3
2019-05-02 14:27,3
2019-05-02 14:28,7
2019-05-02 14:30,5
2019-05-02 14:31,4
2019-05-02 14:32,5
2019-05-02 14:33,10
2019-05-02 14:34,10
2019-05-02 14:35,7
2019-05-02 14:36,5
2019-05-02 14:37,5
2019-05-02 14:38,6
2019-05-02 14:40,3
2019-05-02 14:41,12
2019-05-02 14:42,13
2019-05-02 14:43,17
2019-05-02 14:44,11
2019-05-02 14:45,15
2019-05-02 14:46,11
2019-05-02 14:47,12
2019-05-02 14:48,16
2019-05-02 14:49,20
2019-05-02 14:50,19
2019-05-02 14:51,13
2019-05-02 14:52,17
2019-05-02 14:53,16
2019-05-02 14:54,12
2019-05-02 14:55,21
2019-05-02 14:56,17
2019-05-02 14:57,18
2019-05-02 14:58,15
2019-05-02 14:59,10
2019-05-02 15:0,12
2019-05-02 15:1,14
2019-05-02 15:2,13
2019-05-02 15:3,11
2019-05-02 15:4,8
2019-05-02 15:5,11
2019-05-02 15:6,9
2019-05-02 15:7,7
2019-05-02 15:8,9
2019-05-02 15:9,9
2019-05-02 15:10,8
2019-05-02 15:11,5
2019-05-02 15:12,8
2019-05-02 15:13,4
2019-05-02 15:14,6
2019-05-02 15:15,7
2019-05-02 15:16,7
2019-05-02 15:17,5
2019-05-02 15:18,9
2019-05-02 15:19,7
2019-05-02 15:20,3
2019-05-02 15:21,6
2019-05-02 15:22,6
2019-05-02 15:23,6
2019-05-02 15:24,7
2019-05-02 15:25,5
2019-05-02 15:26,5
2019-05-02 15:27,11
2019-05-02 15:28,12
2019-05-02 15:30,6
2019-05-02 15:31,5
2019-05-02 15:32,5
2019-05-02 15:33,4
2019-05-02 15:34,6
2019-05-02 15:35,8
2019-05-02 15:36,10
2019-05-02 15:37,9
2019-05-02 15:38,7
2019-05-02 15:39,3
2019-05-02 15:40,10
2019-05-02 15:41,7
2019-05-02 15:42,9
2019-05-02 15:43,8
2019-05-02 15:44,10
2019-05-02 15:45,7
2019-05-02 15:46,8
2019-05-02 15:47,3
2019-05-02 15:48,4
2019-05-02 15:49,5
2019-05-02 15:50,5
2019-05-02 15:51,3
2019-05-02 15:52,11
2019-05-02 15:53,7
2019-05-02 15:54,6
2019-05-02 15:55,4
2019-05-02 15:56,7
2019-05-02 15:57,6
2019-05-02 15:58,9
2019-05-02 15:59,12
2019-05-02 16:0,8
2019-05-02 16:1,6
2019-05-02 16:2,9
2019-05-02 16:3,9
2019-05-02 16:4,4
2019-05-02 16:5,8
2019-05-02 16:6,4
2019-05-02 16:7,6
2019-05-02 16:8,9
2019-05-02 16:9,11
2019-05-02 16:10,6
2019-05-02 16:11,3
2019-05-02 16:12,3
2019-05-02 16:13,5
2019-05-02 16:14,4
2019-05-02 16:15,7
2019-05-02 16:16,8
2019-05-02 16:17,9
2019-05-02 16:18,9
2019-05-02 16:19,8
2019-05-02 16:20,14
2019-05-02 16:21,4
2019-05-02 16:22,6
2019-05-02 16:23,6
2019-05-02 16:24,3
2019-05-02 16:25,5
2019-05-02 16:26,8
2019-05-02 16:27,4
2019-05-02 16:28,5
2019-05-02 16:29,5
2019-05-02 16:30,9
2019-05-02 16:31,7
2019-05-02 16:32,7
2019-05-02 16:33,6
2019-05-02 16:34,9
2019-05-02 16:35,4
2019-05-02 16:36,3
2019-05-02 16:37,2
2019-05-02 16:38,3
2019-05-02 16:39,7
2019-05-02 16:40,1
2019-05-02 16:41,2
2019-05-02 16:42,6
2019-05-02 16:43,5
2019-05-02 16:44,7
2019-05-02 16:45,4
2019-05-02 16:46,4
2019-05-02 16:47,4
2019-05-02 16:48,6
2019-05-02 16:49,4
2019-05-02 16:50,5
2019-05-02 16:51,5
2019-05-02 16:52,2
2019-05-02 16:53,6
2019-05-02 16:54,3
2019-05-02 16:55,2
2019-05-02 16:56,5
2019-05-02 16:57,1
2019-05-02 16:58,1
2019-05-02 16:59,2
2019-05-02 17:0,3
2019-05-02 17:1,3
2019-05-02 17:2,3
2019-05-02 17:3,6
2019-05-02 17:4,4
2019-05-02 17:5,6
2019-05-02 17:6,5
2019-05-02 17:7,3
2019-05-02 17:8,5
2019-05-02 17:9,15
2019-05-02 17:10,6
2019-05-02 17:11,5
2019-05-02 17:12,6
2019-05-02 17:13,4
2019-05-02 17:14,8
2019-05-02 17:15,6
2019-05-02 17:16,8
2019-05-02 17:17,1
2019-05-02 17:18,4
2019-05-02 17:20,2
2019-05-02 17:21,3
2019-05-02 17:22,5
2019-05-02 17:23,2
2019-05-02 17:24,6
2019-05-02 17:25,6
2019-05-02 17:26,4
2019-05-02 17:27,13
2019-05-02 17:28,13
2019-05-02 17:29,12
2019-05-02 17:30,9
2019-05-02 17:31,9
2019-05-02 17:32,6
2019-05-02 17:33,7
2019-05-02 17:34,4
2019-05-02 17:35,7
2019-05-02 17:36,5
2019-05-02 17:37,4
2019-05-02 17:38,5
2019-05-02 17:39,8
2019-05-02 17:40,9
2019-05-02 17:41,5
2019-05-02 17:42,4
2019-05-02 17:43,2
2019-05-02 17:44,5
2019-05-02 17:46,2
2019-05-02 17:47,5
2019-05-02 17:48,5
2019-05-02 17:49,2
2019-05-02 17:50,11
2019-05-02 17:51,8
2019-05-02 17:52,1
2019-05-02 17:53,5
2019-05-02 17:54,7
2019-05-02 17:55,5
2019-05-02 17:56,4
2019-05-02 17:57,10
2019-05-02 17:58,4
2019-05-02 17:59,3
2019-05-02 18:0,7
2019-05-02 18:1,4
2019-05-02 18:2,3
2019-05-02 18:3,6
2019-05-02 18:4,6
2019-05-02 18:5,10
2019-05-02 18:6,3
2019-05-02 18:7,7
2019-05-02 18:8,8
2019-05-02 18:9,6
2019-05-02 18:10,11
2019-05-02 18:11,3
2019-05-02 18:12,8
2019-05-02 18:13,10
2019-05-02 18:14,7
2019-05-02 18:15,7
2019-05-02 18:16,4
2019-05-02 18:17,2
2019-05-02 18:18,4
2019-05-02 18:20,5
2019-05-02 18:21,5
2019-05-02 18:22,7
2019-05-02 18:23,8
2019-05-02 18:24,15
2019-05-02 18:25,9
2019-05-02 18:26,6
2019-05-02 18:27,8
2019-05-02 18:28,9
2019-05-02 18:29,6
2019-05-02 18:30,6
2019-05-02 18:31,10
2019-05-02 18:32,9
2019-05-02 18:33,9
2019-05-02 18:34,9
2019-05-02 18:35,8
2019-05-02 18:36,9
2019-05-02 18:37,12
2019-05-02 18:38,5
2019-05-02 18:40,9
2019-05-02 18:41,7
2019-05-02 18:42,8
2019-05-02 18:43,6
2019-05-02 18:44,6
2019-05-02 18:45,6
2019-05-02 18:46,8
2019-05-02 18:47,7
2019-05-02 18:48,7
2019-05-02 18:49,9
2019-05-02 18:50,5
2019-05-02 18:51,5
2019-05-02 18:52,6
2019-05-02 18:53,6
2019-05-02 18:54,7
2019-05-02 18:55,6
2019-05-02 18:56,5
2019-05-02 18:57,12
2019-05-02 18:58,5
2019-05-02 18:59,4
2019-05-02 19:0,7
2019-05-02 19:1,6
2019-05-02 19:2,4
2019-05-02 19:3,4
2019-05-02 19:4,5
2019-05-02 19:5,4
2019-05-02 19:6,5
2019-05-02 19:7,4
2019-05-02 19:8,4
2019-05-02 19:9,4
2019-05-02 19:10,6
2019-05-02 19:11,4
2019-05-02 19:12,4
2019-05-02 19:13,1
2019-05-02 19:14,2
2019-05-02 19:16,1
2019-05-02 19:17,3
2019-05-02 19:18,4
2019-05-02 19:20,2
2019-05-02 19:21,3
2019-05-02 19:23,2
2019-05-02 19:26,6
2019-05-02 19:27,1
2019-05-02 19:38,1
2019-05-03 5:17,1
2019-05-03 5:19,0
2019-05-03 5:23,1
2019-05-03 5:24,0
2019-05-03 5:25,1
2019-05-03 5:30,1
2019-05-03 5:31,2
2019-05-03 5:32,1
2019-05-03 5:33,1
2019-05-03 5:34,1
2019-05-03 5:40,2
2019-05-03 5:42,0
2019-05-03 5:45,0
2019-05-03 5:46,1
2019-05-03 5:50,1
2019-05-03 5:52,1
2019-05-03 5:56,2
2019-05-03 6:1,1
2019-05-03 6:3,1
2019-05-03 6:4,1
2019-05-03 6:8,2
2019-05-03 6:9,1
2019-05-03 6:10,3
2019-05-03 6:11,1
2019-05-03 6:13,0
2019-05-03 6:14,1
2019-05-03 6:15,2
2019-05-03 6:17,1
2019-05-03 6:18,2
2019-05-03 6:19,1
2019-05-03 6:20,2
2019-05-03 6:21,0
2019-05-03 6:22,1
2019-05-03 6:24,0
2019-05-03 6:28,0
2019-05-03 6:30,1
2019-05-03 6:31,0
2019-05-03 6:32,3
2019-05-03 6:36,4
2019-05-03 6:37,1
2019-05-03 6:39,2
2019-05-03 6:41,2
2019-05-03 6:43,2
2019-05-03 6:44,4
2019-05-03 6:45,1
2019-05-03 6:46,2
2019-05-03 6:48,2
2019-05-03 6:49,5
2019-05-03 6:51,2
2019-05-03 6:52,4
2019-05-03 6:53,1
2019-05-03 6:54,1
2019-05-03 6:56,4
2019-05-03 6:57,3
2019-05-03 6:58,5
2019-05-03 6:59,1
2019-05-03 7:0,3
2019-05-03 7:1,3
2019-05-03 7:2,4
2019-05-03 7:3,1
2019-05-03 7:4,5
2019-05-03 7:5,3
2019-05-03 7:6,2
2019-05-03 7:7,4
2019-05-03 7:8,2
2019-05-03 7:9,2
2019-05-03 7:12,3
2019-05-03 7:13,2
2019-05-03 7:14,3
2019-05-03 7:16,4
2019-05-03 7:17,2
2019-05-03 7:20,2
2019-05-03 7:23,3
2019-05-03 7:24,3
2019-05-03 7:25,1
2019-05-03 7:27,1
2019-05-03 7:28,3
2019-05-03 7:29,2
2019-05-03 7:30,1
2019-05-03 7:32,1
2019-05-03 7:33,0
2019-05-03 7:37,1
2019-05-03 7:40,1
2019-05-03 7:41,1
2019-05-03 7:42,1
2019-05-03 7:43,0
2019-05-03 7:44,2
2019-05-03 7:46,1
2019-05-03 7:49,2
2019-05-03 7:50,1
2019-05-03 7:51,0
2019-05-03 7:53,1
2019-05-03 7:55,1
2019-05-03 7:57,2
2019-05-03 7:59,3
2019-05-03 8:0,2
2019-05-03 8:2,1
2019-05-03 8:4,4
2019-05-03 8:5,1
2019-05-03 8:6,0
2019-05-03 8:9,1
2019-05-03 8:12,1
2019-05-03 8:13,2
2019-05-03 8:14,1
2019-05-03 8:19,1
2019-05-03 8:20,2
2019-05-03 8:21,2
2019-05-03 8:22,3
2019-05-03 8:23,2
2019-05-03 8:24,3
2019-05-03 8:26,1
2019-05-03 8:27,2
2019-05-03 8:31,2
2019-05-03 8:35,1
2019-05-03 8:37,4
2019-05-03 8:39,0
2019-05-03 8:40,1
2019-05-03 8:41,0
2019-05-03 8:43,2
2019-05-03 8:46,2
2019-05-03 8:48,1
2019-05-03 8:52,1
2019-05-03 8:57,1
2019-05-03 8:58,1
2019-05-03 9:1,2
2019-05-03 9:5,2
2019-05-03 9:7,0
2019-05-03 9:8,1
2019-05-03 9:11,2
2019-05-03 9:12,0
2019-05-03 9:13,1
2019-05-03 9:14,1
2019-05-03 9:15,3
2019-05-03 9:16,1
2019-05-03 9:17,2
2019-05-03 9:19,3
2019-05-03 9:20,4
2019-05-03 9:21,9
2019-05-03 9:22,9
2019-05-03 9:23,12
2019-05-03 9:24,13
2019-05-03 9:25,13
2019-05-03 9:26,11
2019-05-03 9:27,7
2019-05-03 9:28,6
2019-05-03 9:30,11
2019-05-03 9:31,13
2019-05-03 9:32,14
2019-05-03 9:33,10
2019-05-03 9:34,6
2019-05-03 9:35,8
2019-05-03 9:36,9
2019-05-03 9:37,10
2019-05-03 9:38,8
2019-05-03 9:40,5
2019-05-03 9:41,9
2019-05-03 9:42,7
2019-05-03 9:43,9
2019-05-03 9:44,6
2019-05-03 9:45,5
2019-05-03 9:46,5
2019-05-03 9:47,9
2019-05-03 9:48,10
2019-05-03 9:49,8
2019-05-03 9:50,9
2019-05-03 9:51,8
2019-05-03 9:52,8
2019-05-03 9:53,11
2019-05-03 9:54,7
2019-05-03 9:55,11
2019-05-03 9:56,10
2019-05-03 9:57,15
2019-05-03 9:58,11
2019-05-03 9:59,12
2019-05-03 10:0,12
2019-05-03 10:1,10
2019-05-03 10:2,11
